Feature Label,Description,Categories,Aspect of house,Data Type
Exterior 1st,Exterior covering on house,AsbShng: Asbestos Shingles / AsphShn: Asphalt Shingles / BrkComm: Brick Common / BrkFace: Brick Face / CBlock: Cinder Block / CemntBd: Cement Board / HdBoard: Hard Board / ImStucc: Imitation Stucco / MetalSd: Metal Siding / Other: Other / Plywood:Plywood / PreCast: PreCast / Stone: Stone / Stucco: Stucco / VinylSd: Vinyl Siding / Wd Sdng: Wood Siding / WdShing: Wood Shingles,Facade,Nominal 
Exterior 2nd,Exterior covering on house (if more than one material),Same as Exterior 1st,Facade,Nominal 
Mas Vnr Type,Masonry veneer type,BrkCmn: Brick Common / BrkFace: Brick Face / Cblock: Cinder Block / None: None / Stone: Stone,Facade,Nominal 
Mas Vnr Area,Masonry veneer area in square feet,None,Facade,Numeric
Exter Qual,Exterior material quality,Ex: Excellent / Gd: Good / TA: Average/Typical / Fa: Fair / Po: Poor,Facade,Ordinal
Exter Cond,Present condition of the material on the exterior,Same as Exter Qual,Facade,Ordinal
Foundation,Type of foundation,BrkTil: Brick & Tile / Cblock: Cinder Block / Pconc: Poured Contrete / Slab: Slab / Stone: Stone / Wood: Wood,Foundation,Nominal 
Bsmt Qual,Height of the basement,Ex: Excellent (100+ inches) / Gd: Good (90-99 inches) / TA: Typical (80-89 inches) / Fa: Fair (70-79 inches) / Po: Poor (<70 inches) / NA: No Basement,Basement,Ordinal
Bsmt Cond,General condition of the basement,"Ex: Excellent / Gd: Good / TA: Typical - slight dampness allowed / Fa: Fair - dampness or some cracking or settling / Po: Poor - Severe cracking, settling, or wetness / NA: No Basement",Basement,Ordinal
Bsmt Exposure,Walkout or garden level basement walls,Gd: Good Exposure / Av: Average Exposure (split levels or foyers typically score average or above) / Mn: Mimimum Exposure / No: No Exposure / NA: No Basement,Basement,Ordinal
BsmtFin Type 1,Quality of basement finished area,GLQ: Good Living Quarters / ALQ: Average Living Quarters / BLQ: Below Average Living Quarters / Rec: Average Rec Room / LwQ: Low Quality / Unf: Unfinshed / NA: No Basement,Basement,Ordinal
BsmtFin SF 1,Type 1 finished square feet,None,Basement,Numeric
BsmtFin Type 2,Quality of second finished area (if present),Same as BsmtFin Type 1,Basement,Ordinal
BsmtFin SF 2,Type 2 finished square feet,None,Basement,Numeric
Bsmt Unf SF,Unfinished square feet of basement area,None,Basement,Numeric
Total Bsmt SF,Unfinished square feet of basement area,None,Basement,Numeric
Heating,Type of heating,Floor: Floor Furnace / GasA: Gas forced warm air furnace / GasW: Gas hot water or steam heat / Grav: Gravity furnace / OthW: Hot water or steam heat other than gas / Wall: Wall furnace,Utility,Nominal 
Heating QC,Heating quality and condition,Ex: Excellent / Gd: Good / TA: Average/Typical / Fa: Fair / Po: Poor,Utility,Ordinal
Central Air,Central air conditioning,N: No / Y: Yes,Utility,Ordinal
Electrical,Electrical system,SBrkr: Standard Circuit Breakers & Romex / FuseA: Fuse Box over 60 AMP and all Romex wiring (Average) / FuseF: 60 AMP Fuse Box and mostly Romex wiring (Fair) / FuseP: 60 AMP Fuse Box and mostly knob & tube wiring (poor) / Mix: Mixed,Utility,Ordinal
1st Flr SF,First Floor square feet,None,Above Grade,Numeric
2nd Flr SF,Second floor square feet,None,Second Floor,Numeric
Low Qual Fin SF,Low quality finished square feet (all floors),None,Above Grade,Numeric
Gr Liv Area,Above grade (ground) living area square feet,None,Overall,Numeric
Bsmt Full Bath,Basement full bathrooms,None,Bathroom,Numeric
Bsmt Half Bath,Basement half bathrooms,None,Bathroom,Numeric
Full Bath,Full bathrooms above grade,None,Bathroom,Numeric
Half Bath,Half baths above grade,None,Bathroom,Numeric
Bedroom AbvGr,Number of bedrooms above basement level,None,Bedroom,Numeric
Kitchen AbvGr,Number of kitchens,None,Kitchen,Numeric
Kitchen Qual,Kitchen quality,Ex:Excellent / Gd: Good / TA: Typical/Average / Fa: Fair / Po: Poor,Kitchen,Ordinal
TotRms AbvGrd,Total rooms above grade (does not include bathrooms),None,Above Grade,Numeric
Functional,Home functionality rating,Typ: Typical Functionality / Min1: Minor Deductions 1 / Min2: Minor Deductions 2 / Mod: Moderate Deductions / Maj1: Major Deductions 1 / Maj2: Major Deductions 2 / Sev: Severely Damaged / Sal: Salvage only,Overall,Ordinal
Fireplaces,Number of fireplaces,None,Utility,Numeric
Fireplace Qu, Fireplace quality,Ex: Excellent - Exceptional Masonry Fireplace / Gd: Good - Masonry Fireplace in main level / TA: Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement / Fa: Fair - Prefabricated Fireplace in basement / Po: Poor - Ben Franklin Stove / NA: No Fireplace,Utility,Ordinal
Garage Type,Garage location,2Types: More than one type of garage / Attchd: Attached to home / Basment: Basement Garage / BuiltIn: Built-In (Garage part of house - typically has room above garage) / CarPort: Car Port / Detchd: Detached from home / NA: No Garage,Garage,Nominal 
Garage Yr Blt,Year garage was built,None,Age,Numeric
Garage Finish,Interior finish of the garage,Fin: Finished / RFn: Rough Finished / Unf: Unfinished / NA: No Garage,Garage,Ordinal
Garage Cars,Size of garage in car capacity,None,Garage,Numeric
Garage Area,Size of garage in square feet,None,Garage,Numeric
Garage Qual,Garage quality,Ex: Excellent / Gd: Good / TA: Typical/Average / Fa: Fair / Po: Poor / NA: No Garage,Garage,Ordinal
Garage Cond,Garage condition,Same as Garage Qual,Garage,Ordinal
Paved Drive,Paved driveway,Y: Paved / P: Partial Pavement / N: Dirt/Gravel,Driveway,Ordinal
Wood Deck SF,Wood deck area in square feet,None,Porch/Garden,Numeric
Open Porch SF,Open porch area in square feet,None,Porch/Garden,Numeric
Enclosed Porch,Enclosed porch area in square feet,None,Porch/Garden,Numeric
3Ssn Porch,Three season porch area in square feet,None,Porch/Garden,Numeric
Screen Porch,Screen porch area in square feet,None,Porch/Garden,Numeric
Pool Area,Pool area in square feet,None,Porch/Garden,Numeric
Pool QC,Pool quality,Ex: Excellent / Gd: Good / TA: Average/Typical / Fa: Fair / NA: No Pool,Porch/Garden,Numeric
Fence,Fence quality,GdPrv: Good Privacy / MnPrv: Minimum Privacy / GdWo: Good Wood / MnWw: Minimum Wood/Wire / NA: No Fence,Porch/Garden,Nominal 
Misc Feature,Miscellaneous feature not covered in other categories,Elev: Elevator / Gar2: 2nd Garage (if not described in garage section) / Othr: Other / Shed: Shed (over 100 SF) / TenC :Tennis Court / NA: None,Overall,Nominal 
Misc Val,$Value of miscellaneous feature,None,Overall,Numeric
Mo Sold,Month Sold,None,Age,Nominal 
Yr Sold,Year Sold,None,Age,Numeric
Sale Type,Type of sale,WD: Warranty Deed - Conventional / CWD: Warranty Deed - Cash / VWD: Warranty Deed - VA Loan / New: Home just constructed and sold / COD: Court Officer Deed/Estate / Con: Contract 15% Down payment regular terms / ConLw: Contract Low Down payment and low interest / ConLI: Contract Low Interest / ConLD: Contract Low Down / Oth: Other,Administrative,Nominal 
SalePrice,The property's sale price in dollars. The response variable.,None,Price,Numeric
